DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,amp,mgx,notin_db
COLOR,#c51b8a,#2b8cbe,#31a354
FIELD_SHAPES,1,1,1
FIELD_COLORS,#c51b8a,#2b8cbe,#31a354
FIELD_LABELS,amp,mgx,notin_db

#LEGEND_TITLE,profiling_method
#LEGEND_SHAPES,1,1,1
#LEGEND_COLORS,#c51b8a,#2b8cbe,#31a354

DATA
Methanobrevibacter,1,1,-1.0
Rhodopirellula,1,-1,-1.0
Blastopirellula,1,-1,-1.0
Lewinella,1,-1,-1.0
Sphingobacterium,1,-1,-1.0
Alistipes,1,1,-1.0
Rikenella,-1,1,-1.0
Butyricimonas,1,1,-1.0
Odoribacter,1,1,-1.0
Porphyromonas,1,1,-1.0
Parabacteroides,1,1,-1.0
Barnesiella,1,1,-1.0
Coprobacter,1,1,-1.0
Dysgonomonas,1,-1,-1.0
Paraprevotella,1,1,-1.0
Prevotella,1,1,-1.0
Hallella,-1,-1,-1.0
Bacteroides,1,1,-1.0
Crocinitomix,1,-1,-1.0
Chryseobacterium,1,1,-1.0
Epilithonimonas,-1,-1,-1.0
Elizabethkingia,-1,1,-1.0
Flavobacterium,1,-1,-1.0
Robiginitalea,1,-1,-1.0
Ulvibacter,1,-1,-1.0
Nonlabens,1,-1,-1.0
Chlorobium,1,-1,-1.0
Desulfovibrio,1,1,-1.0
Bilophila,1,1,-1.0
Campylobacter,1,1,-1.0
Granulosicoccus,1,-1,-1.0
Pseudoalteromonas,1,-1,-1.0
Pseudomonas,1,-1,-1.0
Acinetobacter,1,1,-1.0
Aeromonas,1,1,-1.0
Raoultella,1,1,-1.0
Klebsiella,1,1,-1.0
Enterobacter,-1,-1,-1.0
Salmonella,-1,1,-1.0
Pluralibacter,-1,1,-1.0
Citrobacter,-1,1,-1.0
Escherichia,1,1,-1.0
Enterobacter,-1,1,-1.0
Pantoea,1,1,-1.0
Kluyvera,1,1,-1.0
Kosakonia,-1,1,-1.0
Serratia,1,1,-1.0
Plesiomonas,-1,1,-1.0
Actinobacillus,1,-1,-1.0
Haemophilus,-1,-1,-1.0
Haemophilus,1,1,-1.0
Arenicella,1,-1,-1.0
Pseudomonas,-1,-1,-1.0
Stenotrophomonas,1,1,-1.0
Parasutterella,1,1,-1.0
Sutterella,1,1,-1.0
Achromobacter,1,-1,-1.0
Comamonas,1,1,-1.0
Oxalobacter,1,1,-1.0
