,sampleid,sequencing type
0,C0047-7E-1A_amp,amplicon
1,C0047-7E-1A_amp,amplicon
2,C0047-7E-1A_amp,amplicon
3,C0047-7E-1A_amp,amplicon
4,C0047-7E-1A_amp,amplicon
5,C0047-7E-1A_amp,amplicon
6,C0047-7E-1A_amp,amplicon
7,C0047-7E-1A_amp,amplicon
8,C0047-7E-1A_amp,amplicon
9,C0047-7E-1A_amp,amplicon
10,C0047-7E-1A_amp,amplicon
11,C0047-7E-1A_amp,amplicon
12,C0047-7E-1A_amp,amplicon
13,C0047-7E-1A_amp,amplicon
14,C0047-7E-1A_amp,amplicon
15,C0047-7E-1A_amp,amplicon
16,C0047-7E-1A_amp,amplicon
17,C0047-7E-1A_amp,amplicon
18,C0047-7E-1A_amp,amplicon
19,C0047-7E-1A_amp,amplicon
20,C0047-7E-1A_amp,amplicon
21,C0047-7E-1A_amp,amplicon
22,C0047-7E-1A_amp,amplicon
23,C0047-7E-1A_amp,amplicon
24,C0047-7E-1A_amp,amplicon
25,C0047-7E-1A_amp,amplicon
26,C0047-7E-1A_amp,amplicon
27,C0047-7E-1A_amp,amplicon
28,C0047-7E-1A_amp,amplicon
29,C0047-7E-1A_amp,amplicon
30,C0047-7E-1A_amp,amplicon
31,C0047-7E-1A_amp,amplicon
32,C0047-7E-1A_amp,amplicon
33,C0047-7E-1A_amp,amplicon
34,C0047-7E-1A_amp,amplicon
35,C0047-7E-1A_amp,amplicon
36,C0047-7E-1A_amp,amplicon
37,C0047-7E-1A_amp,amplicon
38,C0047-7E-1A_amp,amplicon
39,C0047-7E-1A_amp,amplicon
40,C0047-7E-1A_amp,amplicon
41,C0047-7E-1A_amp,amplicon
42,C0047-7E-1A_amp,amplicon
43,C0047-7E-1A_amp,amplicon
44,C0047-7E-1A_amp,amplicon
45,C0047-7E-1A_amp,amplicon
46,C0047-7E-1A_amp,amplicon
47,C0047-7E-1A_amp,amplicon
48,C0047-7E-1A_amp,amplicon
49,C0047-7E-1A_amp,amplicon
50,C0047-7E-1A_amp,amplicon
51,C0047-7E-1A_amp,amplicon
52,C0047-7E-1A_amp,amplicon
53,C0047-7E-1A_amp,amplicon
54,C0047-7E-1A_amp,amplicon
55,C0047-7E-1A_amp,amplicon
56,C0047-7E-1A_amp,amplicon
57,C0047-7E-1A_amp,amplicon
58,C0047-7E-1A_amp,amplicon
59,C0047-7E-1A_amp,amplicon
60,C0047-7E-1A_amp,amplicon
61,C0047-7E-1A_amp,amplicon
62,C0047-7E-1A_amp,amplicon
63,C0047-7E-1A_amp,amplicon
64,C0047-7E-1A_amp,amplicon
65,C0047-7E-1A_amp,amplicon
66,C0047-7E-1A_amp,amplicon
67,C0047-7E-1A_amp,amplicon
68,C0047-7E-1A_amp,amplicon
69,C0047-7E-1A_amp,amplicon
70,C0047-7E-1A_amp,amplicon
71,C0047-7E-1A_amp,amplicon
72,C0047-7E-1A_amp,amplicon
73,C0047-7E-1A_amp,amplicon
74,C0047-7E-1A_amp,amplicon
75,C0047-7E-1A_amp,amplicon
76,C0047-7E-1A_amp,amplicon
77,C0047-7E-1A_amp,amplicon
78,C0047-7E-1A_amp,amplicon
79,C0047-7E-1A_amp,amplicon
80,C0047-7E-1A_amp,amplicon
81,C0047-7E-1A_amp,amplicon
82,C0047-7E-1A_amp,amplicon
83,C0047-7E-1A_amp,amplicon
84,C0047-7E-1A_amp,amplicon
85,C0047-7E-1A_amp,amplicon
86,C0047-7E-1A_amp,amplicon
87,C0047-7E-1A_amp,amplicon
88,C0047-7E-1A_amp,amplicon
89,C0047-7E-1A_amp,amplicon
90,C0047-7E-1A_amp,amplicon
91,C0047-7E-1A_amp,amplicon
92,C0047-7E-1A_amp,amplicon
93,C0047-7E-1A_amp,amplicon
94,C0047-7E-1A_amp,amplicon
95,C0047-7E-1A_amp,amplicon
96,C0047-7E-1A_amp,amplicon
97,C0047-7E-1A_amp,amplicon
98,C0047-7E-1A_amp,amplicon
99,C0047-7E-1A_amp,amplicon
100,C0047-7E-1A_amp,amplicon
101,C0047-7E-1A_amp,amplicon
102,C0047-7E-1A_amp,amplicon
103,C0047-7E-1A_amp,amplicon
104,C0047-7E-1A_amp,amplicon
105,C0047-7E-1A_amp,amplicon
106,C0047-7E-1A_amp,amplicon
107,C0047-7E-1A_amp,amplicon
108,C0047-7E-1A_amp,amplicon
109,C0047-7E-1A_amp,amplicon
110,C0047-7E-1A_amp,amplicon
111,C0047-7E-1A_amp,amplicon
112,C0047-7E-1A_amp,amplicon
113,C0047-7E-1A_amp,amplicon
114,C0047-7E-1A_amp,amplicon
115,C0047-7E-1A_amp,amplicon
116,C0047-7E-1A_amp,amplicon
117,C0047-7E-1A_amp,amplicon
118,C0047-7E-1A_amp,amplicon
119,C0047-7E-1A_amp,amplicon
120,C0047-7E-1A_amp,amplicon
121,C0047-7E-1A_amp,amplicon
122,C0047-7E-1A_amp,amplicon
123,C0047-7E-1A_amp,amplicon
124,C0047-7E-1A_amp,amplicon
125,C0047-7E-1A_amp,amplicon
126,C0047-7E-1A_amp,amplicon
127,C0047-7E-1A_amp,amplicon
128,C0047-7E-1A_amp,amplicon
129,C0047-7E-1A_amp,amplicon
130,C0047-7E-1A_amp,amplicon
131,C0047-7E-1A_amp,amplicon
132,C0047-7E-1A_amp,amplicon
133,C0047-7E-1A_amp,amplicon
134,C0047-7E-1A_amp,amplicon
135,C0047-7E-1A_amp,amplicon
136,C0047-7E-1A_amp,amplicon
137,C0047-7E-1A_amp,amplicon
138,C0047-7E-1A_amp,amplicon
139,C0047-7E-1A_amp,amplicon
140,C0047-7E-1A_amp,amplicon
141,C0047-7E-1A_amp,amplicon
142,C0047-7E-1A_amp,amplicon
143,C0047-7E-1A_amp,amplicon
144,C0047-7E-1A_amp,amplicon
145,C0047-7E-1A_amp,amplicon
146,C0047-7E-1A_amp,amplicon
147,C0047-7E-1A_amp,amplicon
148,C0047-7E-1A_amp,amplicon
149,C0047-7E-1A_amp,amplicon
150,C0047-7E-1A_amp,amplicon
151,C0047-7E-1A_amp,amplicon
152,C0047-7E-1A_amp,amplicon
153,C0047-7E-1A_amp,amplicon
154,C0047-7E-1A_amp,amplicon
155,C0047-7E-1A_amp,amplicon
156,C0047-7E-1A_amp,amplicon
157,C0047-7E-1A_amp,amplicon
158,C0047-7E-1A_amp,amplicon
159,C0047-7E-1A_amp,amplicon
160,C0047-7E-1A_amp,amplicon
161,C0047-7E-1A_amp,amplicon
162,C0047-7E-1A_amp,amplicon
163,C0047-7E-1A_amp,amplicon
164,C0047-7E-1A_amp,amplicon
165,C0047-7E-1A_amp,amplicon
166,C0047-7E-1A_amp,amplicon
167,C0047-7E-1A_amp,amplicon
168,C0047-7E-1A_amp,amplicon
169,C0047-7E-1A_amp,amplicon
170,C0047-7E-1A_amp,amplicon
171,C0047-7E-1A_amp,amplicon
172,C0047-7E-1A_amp,amplicon
173,C0047-7E-1A_amp,amplicon
174,C0047-7E-1A_amp,amplicon
175,C0047-7E-1A_amp,amplicon
176,C0047-7E-1A_amp,amplicon
177,C0047-7E-1A_amp,amplicon
178,C0047-7E-1A_amp,amplicon
179,C0047-7E-1A_amp,amplicon
180,C0047-7E-1A_amp,amplicon
181,C0047-7E-1A_amp,amplicon
182,C0047-7E-1A_amp,amplicon
183,C0047-7E-1A_amp,amplicon
184,C0047-7E-1A_amp,amplicon
185,C0047-7E-1A_amp,amplicon
186,C0047-7E-1A_amp,amplicon
187,C0047-7E-1A_amp,amplicon
188,C0047-7E-1A_amp,amplicon
189,C0047-7E-1A_amp,amplicon
190,C0047-7E-1A_amp,amplicon
191,C0047-7E-1A_amp,amplicon
192,C0047-7E-1A_amp,amplicon
193,C0047-7E-1A_amp,amplicon
194,C0047-7E-1A_amp,amplicon
195,C0047-7E-1A_amp,amplicon
196,C0047-7E-1A_amp,amplicon
197,C0047-7E-1A_amp,amplicon
198,C0047-7E-1A_amp,amplicon
199,C0047-7E-1A_amp,amplicon
200,C0047-7E-1A_amp,amplicon
201,C0047-7E-1A_amp,amplicon
202,C0047-7E-1A_amp,amplicon
203,C0047-7E-1A_amp,amplicon
204,C0047-7E-1A_amp,amplicon
205,C0047-7E-1A_amp,amplicon
206,C0047-7E-1A_amp,amplicon
207,C0047-7E-1A_amp,amplicon
208,C0047-7E-1A_amp,amplicon
209,C0047-7E-1A_amp,amplicon
210,C0047-7E-1A_amp,amplicon
