sample,timepoint,dev_stage
C0498_1F_1A,1,dev
C0524_3F_1A,3,dev
C0537_1F_1A,1,dev
C0550_1F_1A,1,dev
C0556_2F_1A,2,dev
C0557_1F_1A,1,dev
C0595_1F_1A,1,dev
C0600_1F_1A,1,dev
C0603_1F_1A,1,dev
C0607_1F_1A,1,dev
C0420_4F_1A,4,transitional
C0476_3F_1A,3,transitional
C0479_3F_1A,3,transitional
C0482_3F_1A,3,transitional
C0493_2F_1A,2,transitional
C0494_2F_1A,2,transitional
C0505_1F_1A,1,transitional
C0511_1F_1A,1,transitional
C0517_1F_1A,1,transitional
C0785_1F_1A,1,transitional
C0005_3F_1A,3,stable
C0016_3F_1A,3,stable
C0017_2F_1A,2,stable
C0029_6F_1A,6,stable
C0032_9F_1A,9,stable
C0043_7F_1A,7,stable
C0047_7F_1A,7,stable
C0052_5F_1A,5,stable
C0053_6F_1A,6,stable
C0055_3F_1A,3,stable
